asset_id,corpus,path,sha256,license,source,created_utc,generator_script,generator_seed,kokoro_revision,intent,adversity_level,persona,duration_s,sample_rate
call-0001,corpus_500,assets/corpus_500/call-0001.wav,454ca57016c3eada37ba3051fd0ac305b8ec4163c9a3a2e14dc9a788d3e9aa02,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:30:37+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,neutral,nervous_first_time,7.375,24000
call-0002,corpus_500,assets/corpus_500/call-0002.wav,0323f9ce88dd6f3f05db8e5c07641da550672c18a5567d00021f3ac795331c17,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:30:40+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,neutral,returning_client,6.500,24000
call-0003,corpus_500,assets/corpus_500/call-0003.wav,4c047f2336ca81cf14321236ffb6b5ab9c54fe1d0c614b073cd337cfdc59fc4c,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:30:59+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,neutral,frustrated_billing,5.500,24000
call-0004,corpus_500,assets/corpus_500/call-0004.wav,6d6f4a4bd628f7cffa449eee8189fde38318b452e32865427c656886a78ffb15,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:31:03+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,neutral,calm_professional,5.775,24000
call-0005,corpus_500,assets/corpus_500/call-0005.wav,05b6865686ba6f985890e7e4f2fe016ffde07ada79729cf4789584dfab910af2,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:31:06+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,neutral,elderly_hard_of_hearing,5.500,24000
call-0006,corpus_500,assets/corpus_500/call-0006.wav,98e721822d1a4bc1f206c61d54447ab6456f22830792618a33a0bae9b0101429,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:31:09+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,neutral,esl_speaker,7.825,24000
call-0007,corpus_500,assets/corpus_500/call-0007.wav,1ea3c6eb54144b0b46f768726eb73a7be92a3140c842a03267cdf3f772861cbb,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:31:12+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,neutral,fast_talker,7.250,24000
call-0008,corpus_500,assets/corpus_500/call-0008.wav,4a5578faaa415d39369330cd50bf593ed6c39d26db025f63defb837613cfff66,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:31:15+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,neutral,soft_voice,4.500,24000
call-0009,corpus_500,assets/corpus_500/call-0009.wav,b6babd9e46821be0e2b0d78543ecb1d16d0bf106a5f16a851d1fcefecdd8a52e,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:31:18+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,neutral,interrupting_caller,4.800,24000
call-0010,corpus_500,assets/corpus_500/call-0010.wav,f331be21d12fd1f25267c2930479a8a9c600e73c07db6e852aa078b50092cdd1,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:31:21+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,neutral,cooperative_brief,4.400,24000
call-0011,corpus_500,assets/corpus_500/call-0011.wav,c1f26db708b56dc0830f17514c95c095cc8fe44a5680b83c8a8e4bb6e99041c4,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:31:24+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,mild_emotional,nervous_first_time,7.375,24000
call-0012,corpus_500,assets/corpus_500/call-0012.wav,035dba9b69c2f7b2eb615a1356137764afac7ab882b646f27c2ac5d88a4ce475,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:31:26+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,mild_emotional,returning_client,6.500,24000
call-0013,corpus_500,assets/corpus_500/call-0013.wav,acee0354456fc1023d4a49c31c70a4104fc318e167ffaf0fa2142bd755b6864b,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:31:29+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,mild_emotional,frustrated_billing,5.500,24000
call-0014,corpus_500,assets/corpus_500/call-0014.wav,8f2aa6523f74f9ba59026b31e87078f81202aca95ce979959c2b57d97ef3a5cc,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:31:31+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,mild_emotional,calm_professional,5.775,24000
call-0015,corpus_500,assets/corpus_500/call-0015.wav,b865901893a87e156a6bf9ad6a2886cca4d5f09a48e01369d1ef5dbc12b8b3d4,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:31:34+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,mild_emotional,elderly_hard_of_hearing,5.500,24000
call-0016,corpus_500,assets/corpus_500/call-0016.wav,8b1625a27d28d509cdc3ef60d3bccade0dab9d83040090c103070b28c3028fa7,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:31:37+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,mild_emotional,esl_speaker,7.825,24000
call-0017,corpus_500,assets/corpus_500/call-0017.wav,06b40f5ee2d13cec9a7aa6e64b2cf4ca9c2d46b2ee473a18306a02a881a122e5,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:31:39+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,mild_emotional,fast_talker,7.250,24000
call-0018,corpus_500,assets/corpus_500/call-0018.wav,d61fab6ed6246f5f8445113f2ce8c60638777e8f2e9e70755e4e6cb9b92c7cb4,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:31:42+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,mild_emotional,soft_voice,4.500,24000
call-0019,corpus_500,assets/corpus_500/call-0019.wav,e65643598870b879ce4f3e204765f5a7ca6c23e4c2c18f405fdd561635bcb259,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:31:44+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,mild_emotional,interrupting_caller,4.800,24000
call-0020,corpus_500,assets/corpus_500/call-0020.wav,04ff40a501ef7b0657968cb38a74a10c9beed84b926d7baa0bd5f3e457cc1c43,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:31:47+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,mild_emotional,cooperative_brief,4.400,24000
call-0021,corpus_500,assets/corpus_500/call-0021.wav,409bc0d57eb29e58e50be7770debfcce5e31050d4c2c8714c14bf7542d649000,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:31:50+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,accent_strong,nervous_first_time,7.375,24000
call-0022,corpus_500,assets/corpus_500/call-0022.wav,689814cc88266eadcf3b76eee4d289f9adb2b6cb6301d3ee568375741a470ace,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:31:52+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,accent_strong,returning_client,6.500,24000
call-0023,corpus_500,assets/corpus_500/call-0023.wav,3a4c96ba85d149e160e761a7adaf28e14a8fef539b948235b9369b2db3606eb0,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:31:55+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,accent_strong,frustrated_billing,5.500,24000
call-0024,corpus_500,assets/corpus_500/call-0024.wav,4aaaea4b03da287583f1a6595cbbab3c789e5920f5754ec7110a7e076404a68e,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:31:58+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,accent_strong,calm_professional,5.775,24000
call-0025,corpus_500,assets/corpus_500/call-0025.wav,c40dda80f24b3825f75d8b351030fbcf1a2beae31031df725218fd5f5417e443,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:32:00+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,accent_strong,elderly_hard_of_hearing,5.500,24000
call-0026,corpus_500,assets/corpus_500/call-0026.wav,f72460df67e4a8431496f3183111ca79beb70729062c58ddec7ff36d0898451b,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:32:03+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,accent_strong,esl_speaker,7.825,24000
call-0027,corpus_500,assets/corpus_500/call-0027.wav,fb3b491aaac74a081f6c1ccdc3a5fe0fb03d605d003607d0c8d4086dec0cc652,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:32:06+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,accent_strong,fast_talker,7.250,24000
call-0028,corpus_500,assets/corpus_500/call-0028.wav,6ebe7b7457043aaffb685d412bb117237a208ec73afce4123a7064ba56ca67fe,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:32:08+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,accent_strong,soft_voice,4.500,24000
call-0029,corpus_500,assets/corpus_500/call-0029.wav,13f7e91834212fd48839a5539f25ac9f19c5901fb3d781aae82cc337f1016d48,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:32:11+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,accent_strong,interrupting_caller,4.800,24000
call-0030,corpus_500,assets/corpus_500/call-0030.wav,8a2464a4ab7e0c222bc235584ad3fa8ea1acf6252719d6f0d241cdc23c8e57ca,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:32:14+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,accent_strong,cooperative_brief,4.400,24000
call-0031,corpus_500,assets/corpus_500/call-0031.wav,a6df3465c7d3fdf6cbd407c804b1bbedc66d4afaed8459f66e8173b4540374c5,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:32:16+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,background_noise,nervous_first_time,7.375,24000
call-0032,corpus_500,assets/corpus_500/call-0032.wav,c8dc8f3f99238e60b0d80b838570502d153261249fa3daeabd6a5fcad0abbb84,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:32:19+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,background_noise,returning_client,6.500,24000
call-0033,corpus_500,assets/corpus_500/call-0033.wav,eeb5bc604e9a336245d5e5b7969ff85f4f272152ca5f30adfef5a09622cc4ac9,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:32:22+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,background_noise,frustrated_billing,5.500,24000
call-0034,corpus_500,assets/corpus_500/call-0034.wav,f1b3ef387405580e0fdc0cadeb99de57965fe827eb8a8c2f7c2ecb21343e9296,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:32:24+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,background_noise,calm_professional,5.775,24000
call-0035,corpus_500,assets/corpus_500/call-0035.wav,63707378a37e660033f815d858274da35c59bcac507d54dc314b31884026bfd1,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:32:27+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,background_noise,elderly_hard_of_hearing,5.500,24000
call-0036,corpus_500,assets/corpus_500/call-0036.wav,065787db1cd4dea4152151f296db4f20cdcbbe703077addbd46aba18892f4d4f,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:32:30+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,background_noise,esl_speaker,7.825,24000
call-0037,corpus_500,assets/corpus_500/call-0037.wav,88548676afa95890256992935339b2b42275883e9db8682b7fb40b4fae4abc73,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:32:33+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,background_noise,fast_talker,7.250,24000
call-0038,corpus_500,assets/corpus_500/call-0038.wav,8f9bab8c5a182ca3b40a18dd3b8d4fee6475f57f7e2f2251977e25b49ad53a0d,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:32:35+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,background_noise,soft_voice,4.500,24000
call-0039,corpus_500,assets/corpus_500/call-0039.wav,8c43b1b070a47b16773bdc311772e229f71483dfb007a85c737a2c2345a5e8c6,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:32:38+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,background_noise,interrupting_caller,4.800,24000
call-0040,corpus_500,assets/corpus_500/call-0040.wav,8b4bccdda623c9ce473704a6635555c54c7a9edc98edc5560e6bfe877985cac6,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:32:40+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,background_noise,cooperative_brief,4.400,24000
call-0041,corpus_500,assets/corpus_500/call-0041.wav,95c7e451a3a1cd52bc2ea5c5d975b98ccade71c4624c634789148b7e3dd2f0d9,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:32:43+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,urgent_distressed,nervous_first_time,7.375,24000
call-0042,corpus_500,assets/corpus_500/call-0042.wav,569030af58cf8ee7ea31a35acb0b5ab4db40333da1bc339b89d94447212ab517,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:32:45+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,urgent_distressed,returning_client,6.500,24000
call-0043,corpus_500,assets/corpus_500/call-0043.wav,3728aedc21a57d0b0dedf87bc1fe4fc23fe58f796ce70a9bd6291f075d07804e,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:32:48+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,urgent_distressed,frustrated_billing,5.500,24000
call-0044,corpus_500,assets/corpus_500/call-0044.wav,4bf667505b8ce145794aa6327ce3d3a18841e04d17044293d80a0046512c41ed,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:32:51+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,urgent_distressed,calm_professional,5.775,24000
call-0045,corpus_500,assets/corpus_500/call-0045.wav,9e3c5c80989c457792ad3a0cd7380d185aed20f2b9985a9957a1866b11447e72,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:32:53+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,urgent_distressed,elderly_hard_of_hearing,5.500,24000
call-0046,corpus_500,assets/corpus_500/call-0046.wav,38c706123ef67eb39e5630df7b7d81e3a273812c21ac10e8a665e3eaead7b101,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:32:56+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,urgent_distressed,esl_speaker,7.825,24000
call-0047,corpus_500,assets/corpus_500/call-0047.wav,563d78ab76620b7a6a6e69b1777a3c2cae6764a3395de486b9fb5a2212c2ab66,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:32:59+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,urgent_distressed,fast_talker,7.250,24000
call-0048,corpus_500,assets/corpus_500/call-0048.wav,985d78d4c87c73fa521e600b5c036fbfcfd7f6faaea94753ba38c9e2d9c96254,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:33:01+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,urgent_distressed,soft_voice,4.500,24000
call-0049,corpus_500,assets/corpus_500/call-0049.wav,db66d7b6696bc20274903ca5f40511335c7427156adeabc173fa1cfa435e144d,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:33:04+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,urgent_distressed,interrupting_caller,4.800,24000
call-0050,corpus_500,assets/corpus_500/call-0050.wav,da43590ae71b2f2485a5612a4d515bf671ba77b4c7dafa4ceb97a4bcfbda6113,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:33:06+00:00,assets/render_env/render_corpus.py,42,0.9.4,intake_inquiry,urgent_distressed,cooperative_brief,4.400,24000
call-0051,corpus_500,assets/corpus_500/call-0051.wav,c03df6fbb600618bfa68c35f2334eadf065a86d0bbd02655b21382efc8cdfa6d,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:33:09+00:00,assets/render_env/render_corpus.py,42,0.9.4,fee_question,neutral,nervous_first_time,4.675,24000
call-0052,corpus_500,assets/corpus_500/call-0052.wav,b107c09aa5f637183606fe2cb05ceafbedc723953db26d50aae75136d81ffa9e,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:33:12+00:00,assets/render_env/render_corpus.py,42,0.9.4,fee_question,neutral,returning_client,4.275,24000
call-0053,corpus_500,assets/corpus_500/call-0053.wav,94d49033d76a2f9263497ff033f111b1ac98c61c127555f963df3254cdabe0ab,synthetic,assets/render_env/render_corpus.py,2026-05-04T22:33:14+00:00,assets/render_env/render_corpus.py,42,0.9.4,fee_question,neutral,frustrated_billing,3.925,24000
